authors	average_rating
Gabriel GarcÃ­a MÃ¡rquez	4.06
Gabriel GarcÃ­a MÃ¡rquez	4.06
Dr. Seuss	4.04
Debbie Raleigh	3.58
Kevin Henkes	3.46
Patrick SÃ¼skind	4.02
Tom Robbins	4.24
Patrick SÃ¼skind-John E. Woods	4.02
Robert A. Heinlein	4.01
Robert A. Heinlein	4.01
Robert A. Heinlein	4.17
Robert A. Heinlein	3.92
Robert A. Heinlein-Stephen Hickman	4.07
Robert A. Heinlein	3.87
Robert A. Heinlein	3.78
Robert A. Heinlein	3.97
Douglas Adams	4.06
Douglas Adams	3.92
Douglas Adams	3.97
Nick  Webb	4.14
Terry Jones	3.6
Douglas Adams-Christopher Cerf	3.92
Norton Juster-Jules Feiffer	4.21
Susan Nanus-Norton Juster	4.1
Harry G. Frankfurt	3.57
Nick Flynn	3.78
Garry Wills	4.13
Abraham Lincoln-Michael McCurdy	4.53
Don DeLillo	3.92
Don DeLillo	3.99
Don DeLillo	3.68
Don DeLillo	3.43
Don DeLillo	3.42
Don DeLillo	3.22
Don DeLillo	3.48
Don DeLillo	3.64
Thomas Pynchon	4.12
Thomas Pynchon	3.96
Thomas Pynchon	3.7
Thomas Pynchon	4.02
Thomas Pynchon	4.06
Thomas Pynchon	3.68
Thomas Pynchon	4.02
Thomas Pynchon	3.5
Richard FariÃ±a-Thomas Pynchon	3.81
Joan Didion	3.88
Joan Didion	4.17
Joan Didion	3.8
Joan Didion	3.86
Joan Didion	3.81
Joan Didion-John Leonard	4.49
Joan Didion-David Thomson	3.87
Paul Auster-Art Spiegelman-Luc Sante	3.9
Paul Auster	3.79
Paul Auster	3.65
Paul Auster	3.89
Peter Moon-Preston B. Nichols-Nina Helms	3.91
Paul Auster	3.83
Paul Auster	3.98
Paul Auster	3.68
Paul Karasik-David Mazzucchelli-Paul Auster-Bob Callahan	3.92
Paul Auster	3.9
Paul Auster	3.23
Paul Auster	3.95
Paul Auster	3.77
Paul Auster	4.4
Paul Auster	3.77
Jared Diamond	3.93
Stephen Leeb-Glen C. Strathy	3.39
Joseph A. Tainter	4.13
Robert D. Putnam	3.79
Philip K. Howard	3.92
Joy Harjo-Gloria Bird-Beth Cuthand-Valerie Martinez-Patricia Blanco	4.39
Nikola Tesla	4.01
Marc J.  Seifer-William H. Terbo	3.77
Carol Dommermuth-Costa	3.95
Nikola Tesla-David Hatcher Childress	4.12
Eric Hobsbawm-Terence O. Ranger-Hugh Trevor-Roper-Prys Morgan-David Cannadine-Bernard S. Cohn	3.96
Julie Elizabeth Leto-Leslie Kelly-Kimberly Raye	3.77
Dave Thomas-Chad Fowler-Andy Hunt	4.04
Maureen Kelly-CliffsNotes-William Golding	3.92
William Golding	3.67
William Golding-Ben Gibson-E.M. Forster-Edmund L. Epstein	3.67
Victor Davis Hanson	4.11
Ephraim Sevela-Antonina W. Bouis	4.15
Alice Sebold	3.79
Alice Sebold	3.79
Sharyn McCrumb	3.81
Dave Shea-Molly E. Holzschlag	4
Elizabeth Castro	3.8
Michael Ochs-Patrick Javault-Ulrike Wasel	3.84
Chuck Klosterman	3.83
Chuck Klosterman	3.74
Eric Schlosser	3.77
Jane Feather	3.51
Robert M. Pirsig	3.77
Kevin O'Malley-Carol Heyer-Scott Goto	4.08
Ronald L. DiSanto-Thomas J. Steele	3.72
John Harold Haynes	3.83
Catharine M. Fishel-Bill Gardner	3.96
Leo Tolstoy-Hugh McLean	4.1
Leo Tolstoy-Henry Gifford-Aylmer Maude-Louise Maude	4.11
Leo Tolstoy-Constance Garnett	4.13
Brian Herbert-Kevin J. Anderson	3.65
Ayn Rand-Leonard Peikoff	3.68
Ayn Rand	3.68
Ayn Rand	3.86
Ayn Rand-Nathaniel Branden	3.5
Ayn Rand	3.63
Ayn Rand-Leonard Peikoff	3.91
Ayn Rand-Nathaniel Branden-Alan Greenspan-Robert Hessen	3.87
Ayn Rand-Michael S. Berliner-Leonard Peikoff	3.97
J.J. Isler-Peter Isler	3.94
Colin  Wells	3.87
Billy Collins	4.23
Christopher Caswell	3.63
Kevin Trudeau	3.08
Bernard Malamud-Kevin Baker	3.63
Anne Tyler	3.55
